Module,Lecture Number,Lecture Topic,Subtopics,Resources
Module 1,1,Introduction to Operating Systems,"OS objectives, Functions of OS, Evolution of OS, OS structures",R1 Ch1
Module 1,2,Operating System Services,"User interface, System calls, OS services, System programs",R1 Ch2
Module 2,3,Process Concept,"Process states, Process control block, Context switching",R1 Ch3
Module 2,4,Process Scheduling,"Scheduling criteria, CPU scheduling algorithms, Preemptive and non-preemptive scheduling",R1 Ch5
Module 3,5,Threads,"Thread models, Multithreading, Thread libraries",R1 Ch4
Module 3,6,Interprocess Communication,"Shared memory, Message passing, Synchronization",R1 Ch3
Module 4,7,Synchronization,"Critical section problem, Semaphores, Monitors, Classical problems",R1 Ch6
Module 4,8,Deadlocks,"System model, Deadlock characterization, Prevention, Avoidance, Detection",R1 Ch7
Module 5,9,Memory Management,"Logical vs physical address, Paging, Segmentation",R1 Ch8
Module 5,10,Virtual Memory,"Demand paging, Page replacement algorithms, Thrashing",R1 Ch9
Module 6,11,File System,"File concept, Access methods, Directory structure, File system implementation",R1 Ch10
Module 6,12,Mass Storage Management,"Disk scheduling, RAID, Storage hierarchy",R1 Ch11
Module 7,13,Protection and Security,"Access control, Authentication, Security threats",R1 Ch14
