Module,Lecture Number,Lecture Topic,Subtopics,Resources
Module 1,1,Introduction,"Definition, ML types",R1 Ch1; R4
Module 1,2,Learning Paradigms,"Supervised, Unsupervised",R1 Ch2; R3
Module 1,3,Learning Paradigms,"Online Learning",R1 Ch13
Module 1,4,Inductive Learning,"Hypothesis, Generalization",R1 Ch2; R3
Module 1,5,Metric Learning,"Distance metrics",R2 Metric
Module 1,6,Bias-Variance,"Overfitting, Underfitting",R2 Lec4; R3
Module 1,7,Data Representation,"Feature scaling",R6 Ch2; R3
Module 1,8,ML Design,"ML pipeline",R6 Ch1; R4
Module 1,9,Module 1 Tutorial,,R1≥6
Module 2,10,Linear Regression,"Least squares",R1 Ch4; R3
Module 2,11,Logistic Regression,"Sigmoid, threshold",R2 Lec3; R3
Module 2,12,Gradient Descent,"Cost optimization",R2 Lec2; R3
Module 2,13,Perceptron,"Single layer",R1 Ch4; R3
Module 2,14,Multilayer NN,"Architecture",R2 Lec5; R3
Module 2,15,Backpropagation,"Chain rule",R2 Lec5; R3
Module 2,16,Backpropagation,"NN training",R8 Ch6; R3
Module 2,17,Support Vector Machines,"Max margin",R2 Lec6; R3
Module 2,18,Module 2 Tutorial,"Numerical problems",R1≥9
Module 3,19,Decision Trees,"Entropy, Information gain",R1 Ch3; R3
Module 3,20,Random Forests,"Ensemble methods",R6 Ch7; R3
Module 3,21,Bayesian Classification,"Naive Bayes",R1 Ch6; R3
Module 3,22,Clustering,"K-means",R2 Lec8; R3
Module 3,23,Principal Component Analysis,"Dimensionality reduction",R2 Lec10
Module 3,24,Graph-Based Learning,"Graph representations",R4 Ch8; R3
Module 3,25,Performance Metrics,"Precision, Recall",R2 Eval Notes
Module 3,26,Algorithm Comparison,"Strengths, Weaknesses",R1 Summary
Module 3,27,Module 3 Tutorial,"Case studies",R1≥6
Module 4,28,Convergence Analysis,"Overfitting",R2 Lec4; R3
Module 4,29,Regularization,"L1, L2",R2 Lec4; R3
Module 4,30,Loss Functions,"SGD, momentum",R8 Ch6; R3
Module 4,31,Feature Selection,"Dimensionality",R6 Ch4; R3
Module 4,32,Ensemble Methods,"Bagging, boosting",R6 Ch7; R3
Module 4,33,Data Augmentation,"Techniques",R8 Ch7; R3
Module 4,34,ML for Control,"Adaptive filtering",R7 Ch3; R3
Module 4,35,Forecasting,"Time series",R11 Ch2
Module 4,36,Course Wrap-up,"End-to-end review",R6 Ch1; R3
